type;diretor;qtd
Movie;Mar Targarona;2
Movie;Marcelo Galvão;2
Movie;Rizal Mantovani;2
Movie;Luc Vinciguerra;2
Movie;Tigmanshu Dhulia;2
Movie;Liz Garbus;2
Movie;Lars von Trier;2
Movie;Kris Pearn;2
Movie;Kristian Mercado;2
Movie;Ksshitij Chaudhary;2
Movie;Kunal Kohli;2
Movie;Thiru;2
Movie;Kunihiko Yuyama;2
Movie;Thomas Sieben;2
Movie;Kyle Newacheck;2
Movie;Ryan Murphy;2
Movie;Ryan Coogler;2
Movie;Rusty Cundieff;2
Movie;Larry Latham;2
Movie;Ruel S. Bayani;2
Movie;Ron Davis;2
Movie;Rudy Soedjarwo;2
Movie;Laura Brownson;2
Movie;Laxman Utekar;2
Movie;Lee Hirsch;2
Movie;Ruben Fleischer;2
Movie;Ross Kauffman;2
Movie;Ross Boyask;2
Movie;Leo Riley;2
Movie;Leslie Iwerks;2
Movie;Lewis Milestone;2
Movie;Liam Lynch;2
Movie;Liam O'Donnell;2
Movie;Taika Waititi;2
Movie;A. L. Vijay;2
Movie;Şenol Sönmez;2
Movie;Asghar Farhadi;2
Movie;Chris Sivertson;2
Movie;Ali F. Mostafa;2
Movie;Bejoy Nambiar;2
Movie;Chris Robinson;2
Movie;Chris Renaud;2
Movie;Bradley Parker;2
Movie;Andrew Niccol;2
Movie;Brad Peyton;2
Movie;Brad Bird;2
Movie;Alexandre Avancini;2
Movie;Alexandre Aja;2
Movie;Bonni Cohen;2
Movie;Bong Joon Ho;2
Movie;Alex Zamm;2
Movie;Alex Timbers;2
Movie;Ari Sandel;2
Movie;Ben Simms;2
Movie;Ali Ragab;2
Movie;Basu Chatterjee;2
Movie;Ben Wheatley;2
Movie;Ali Taner Baltacı;2
Movie;Christopher Guest;2
Movie;Abba T. Makama;2
Movie;Bryan Bertino;2
Movie;BB Sasore;2
Movie;Alistair Legrand;2
Movie;Baljit Singh Deo;2
Movie;Brett Ratner;2
Movie;Abhijit Panse;2
Movie;Alison Klayman;2
Movie;Atanu Ghosh;2
Movie;Baran bo Odar;2
Movie;Asif Kapadia;2
Movie;Ashwiny Iyer Tiwari;2
Movie;Barbra Streisand;2
Movie;Byron Howard;2
Movie;Ashok Nanda;2
